CAMIS,BORO,BUILDING,STREET,ZIPCODE,PHONE,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,ObjectId,x,y
50047806,Manhattan,234,W 48TH ST,10036,2122650828,10/23/18 0:00,08A,N,9,A,10/23/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76044752,-73.98565488,105,3,12500,1024764,1010190055,MN17,16,-73.98565488,40.76044752
41721670,Manhattan,73,WARREN STREET,10007,2127916300,7/25/19 0:00,02G,Y,10,A,7/25/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.71510448,-74.01006431,101,1,2100,1001432,1001320027,MN24,17,-74.01006431,40.71510448
50036413,Manhattan,16,1ST AVE,10009,2125108726,11/14/17 0:00,06D,Y,12,A,11/14/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.7234594,-73.98827487,103,2,3002,1005731,1004290004,MN22,18,-73.98827487,40.7234594
41168997,Manhattan,1431,YORK AVENUE,10021,2128618060,2/24/17 0:00,10F,N,10,A,2/24/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76934235,-73.95193703,108,5,13200,1045936,1014700028,MN31,19,-73.95193703,40.76934235
50057029,Manhattan,21,W 8TH ST,10011,2123881831,7/30/19 0:00,10H,N,9,A,7/30/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.73268238,-73.99735516,102,3,6300,1009439,1005720054,MN23,20,-73.99735516,40.73268238
50039330,Brooklyn,1170,LIBERTY AVE,11208,7182771223,11/21/17 0:00,10F,N,13,A,11/21/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.67884498,-73.86597613,305,37,118800,3094466,3042040017,BK83,21,-73.86597613,40.67884498
40997900,Queens,4232,BELL BOULEVARD,11361,7182241133,6/18/19 0:00,10F,N,12,A,6/18/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76220028,-73.77030923,411,19,146700,4450632,4062840036,QN46,22,-73.77030923,40.76220028
50017242,Brooklyn,1608,SHORE PKWY SOUTH,11214,7182651069,2/1/18 0:00,10B,N,12,A,2/1/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.59561372,-74.00009002,311,43,29400,3336456,3064910011,BK28,23,-74.00009002,40.59561372
50015186,Manhattan,1382,1ST AVE,10021,2128611102,6/28/17 0:00,06A,Y,26,B,6/28/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76892645,-73.95516124,108,5,12400,1045888,1014680046,MN31,24,-73.95516124,40.76892645
50052463,Bronx,2920,BRUCKNER BLVD,10465,7186841324,4/4/18 0:00,10B,N,7,A,4/4/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.83326612,-73.82751026,210,13,16400,2076431,2054190123,BX52,25,-73.82751026,40.83326612
50045733,Queens,3916,PRINCE ST,11354,7188889307,5/9/19 0:00,10F,N,7,A,5/9/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.75947768,-73.83224308,407,20,87100,4539244,4049737501,QN22,26,-73.83224308,40.75947768
50001073,Manhattan,26,GREENWICH AVE,10011,2129331080,2/2/17 0:00,04L,Y,12,A,2/2/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.73501821,-74.00016959,102,3,7100,1010521,1006060008,MN23,27,-74.00016959,40.73501821
41454953,Brooklyn,789,FRANKLIN AVENUE,11238,7184931037,4/12/17 0:00,08A,N,11,A,4/12/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.67194373,-73.9574942,308,35,21900,3032115,3012520006,BK61,28,-73.9574942,40.67194373
41472986,Manhattan,238,WEST   56 STREET,10019,2125869888,7/12/18 0:00,06C,Y,22,B,7/12/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76562918,-73.98242278,105,3,13700,1024884,1010270058,MN17,29,-73.98242278,40.76562918
50053408,Manhattan,1729,1ST AVE,10128,2127227220,7/12/18 0:00,09C,N,18,B,7/12/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.77912008,-73.94774507,108,5,15400,1050119,1015520027,MN32,30,-73.94774507,40.77912008
50005257,Brooklyn,527,METROPOLITAN AVE,11211,7187820175,4/4/18 0:00,06D,Y,12,A,4/4/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.71406791,-73.95098866,301,34,50100,3068665,3027560046,BK90,31,-73.95098866,40.71406791
50034907,Brooklyn,228,DUFFIELD ST,11201,7188551900,8/30/18 0:00,08A,N,12,A,8/30/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.69129847,-73.98439329,302,33,1500,3424452,3001450032,BK38,32,-73.98439329,40.69129847
41212798,Manhattan,3111,BROADWAY,10027,2126626096,8/16/17 0:00,10F,N,9,A,8/16/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.81281694,-73.9603915,109,7,21100,1059837,1019930015,MN09,33,-73.9603915,40.81281694
50042876,Queens,3705,BROADWAY,11103,7185456001,8/17/17 0:00,08A,N,25,B,8/17/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.75965781,-73.92044939,401,22,6100,4010437,4006570006,QN70,34,-73.92044939,40.75965781
50002751,Brooklyn,872 A,FLATBUSH AVE,11226,7184844700,2/23/17 0:00,06E,Y,10,A,2/23/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.65084785,-73.95884109,314,40,50801,3116591,3050820046,BK42,35,-73.95884109,40.65084785
50002506,Manhattan,725,PARK AVE,10021,2125702667,9/25/19 0:00,10F,N,10,A,9/25/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.77002491,-73.96459412,108,4,12800,1042714,1014050001,MN40,36,-73.96459412,40.77002491
41613424,Queens,10011,37 AVENUE,11368,7186512425,9/30/19 0:00,10F,N,12,A,9/30/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.75257354,-73.86704718,403,21,40700,4043252,4017410027,QN26,37,-73.86704718,40.75257354
40483195,Manhattan,175,EIGHTH AVENUE,10011,2126919740,2/20/19 0:00,06E,Y,5,A,2/20/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.74275021,-74.00034644,104,3,8900,1013110,1007420039,MN13,38,-74.00034644,40.74275021
50015281,Manhattan,224,W 104TH ST,10025,2125791333,6/19/19 0:00,02G,Y,13,A,6/19/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.79949619,-73.96756179,107,7,19100,1056573,1018750043,MN12,39,-73.96756179,40.79949619
50009215,Brooklyn,207,KNICKERBOCKER AVE,11237,7184561054,3/14/19 0:00,10F,N,9,A,3/14/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.70341331,-73.92643887,304,34,42700,3072340,3031750003,BK77,40,-73.92643887,40.70341331
41514706,Queens,4004,UNION STREET,11354,7189393489,6/26/19 0:00,08C,N,6,A,6/26/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.76027878,-73.82645825,407,20,85300,4113559,4050190063,QN22,41,-73.82645825,40.76027878
41590276,Manhattan,140,EAST   41 STREET,10017,2128678889,4/21/16 0:00,10F,N,7,A,4/21/16 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.75057852,-73.97611065,106,4,8000,1036148,1012950033,MN20,42,-73.97611065,40.75057852
41663220,Brooklyn,1231,NOSTRAND AVENUE,11225,7184849898,7/19/18 0:00,10D,N,11,A,7/19/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.65720135,-73.9502485,309,40,80400,3107389,3048190001,BK60,43,-73.9502485,40.65720135
41557786,Staten Island,1781,RICHMOND ROAD,10306,7183513653,10/17/18 0:00,10F,N,12,A,10/17/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.58717857,-74.10381951,502,50,18100,5022933,5008870041,SI24,44,-74.10381951,40.58717857
50037080,Manhattan,169,THOMPSON ST,10012,9173883372,10/12/17 0:00,04A,Y,16,B,10/12/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.72764851,-74.00033554,102,3,6500,1077793,1005250024,MN23,45,-74.00033554,40.72764851
50046737,Bronx,1590,WESTCHESTER AVE,10472,5165035301,9/12/16 0:00,10F,N,9,A,9/12/16 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.8291017,-73.87591293,209,18,4800,2023991,2037430045,BX55,46,-73.87591293,40.8291017
50087858,Queens,18810,UNION TPKE,11366,7184647874,10/8/19 0:00,06C,Y,5,A,10/8/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.72925091,-73.78095517,408,23,127700,4156312,4072660001,QN06,47,-73.78095517,40.72925091
50017309,Manhattan,419,PARK AVE S,10016,2126830444,6/28/19 0:00,02G,Y,10,A,6/28/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.74379206,-73.98372053,105,2,7200,1018236,1008840084,MN20,48,-73.98372053,40.74379206
50065408,Bronx,3133,VILLA AVE,10468,7184508870,7/7/17 0:00,02B,Y,12,A,7/7/17 0:00,10/29/19 0:00,Pre-permit (Operational) / Initial Inspection,40.87556536,-73.88733569,207,11,41100,2017661,2033220053,BX05,49,-73.88733569,40.87556536
41048429,Brooklyn,185,MONTAGUE STREET,11201,7182439109,4/19/17 0:00,06D,Y,7,A,4/19/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.69411263,-73.99183209,302,33,900,3002009,3002440013,BK09,50,-73.99183209,40.69411263
50039294,Brooklyn,3360,ATLANTIC AVE,11208,3473053470,10/25/19 0:00,08A,N,27,Z,10/25/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.68145975,-73.87230565,305,37,117800,3093271,3041620018,BK83,51,-73.87230565,40.68145975
50078143,Brooklyn,534,86TH ST,11209,9177480168,10/2/18 0:00,06E,Y,12,A,10/2/18 0:00,10/29/19 0:00,Pre-permit (Operational) / Initial Inspection,40.62082456,-74.02513951,310,43,16000,3340601,3060520015,BK31,52,-74.02513951,40.62082456
50054551,Bronx,217,E FORDHAM RD,10458,3473446815,11/29/17 0:00,04N,Y,26,B,11/29/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.86235804,-73.89642893,207,15,39901,2088404,2031540045,BX05,53,-73.89642893,40.86235804
41677130,Manhattan,935,COLUMBUS AVENUE,10025,2128666888,7/19/17 0:00,02B,Y,9,A,7/19/17 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.79907211,-73.96296773,107,7,18900,1055629,1018410061,MN12,54,-73.96296773,40.79907211
40695079,Manhattan,2601,BROADWAY,10025,2122220410,5/16/18 0:00,10F,N,10,A,5/16/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.79604965,-73.97077065,107,6,18700,1056414,1018707501,MN12,55,-73.97077065,40.79604965
40994739,Manhattan,922,7 AVENUE,10019,2127570775,8/28/17 0:00,10B,N,13,A,8/28/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76640544,-73.97940817,105,4,13700,1024918,1010300029,MN17,56,-73.97940817,40.76640544
40883740,Brooklyn,5013,AVENUE D,11203,7186299014,4/3/17 0:00,08A,N,11,A,4/3/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.64214882,-73.92911548,317,45,84600,3105765,3047710043,BK96,57,-73.92911548,40.64214882
50075060,Manhattan,260,W 40TH ST,10018,2124779400,10/18/19 0:00,06D,Y,12,A,10/18/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.75543053,-73.98953614,105,3,11300,1090450,1007890069,MN17,58,-73.98953614,40.75543053
41641875,Queens,679,SENECA AVENUE,11385,7183811717,4/13/18 0:00,08A,N,9,A,4/13/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.70313119,-73.9082257,405,34,54900,4443079,4034550006,QN20,59,-73.9082257,40.70313119
41350171,Queens,16417,UNION TURNPIKE,11366,7189693423,6/18/16 0:00,02G,Y,9,A,6/18/16 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.72165106,-73.80394651,408,24,124100,4150949,4069720021,QN38,60,-73.80394651,40.72165106
40395366,Brooklyn,6822,5 AVENUE,11220,7187456980,1/29/19 0:00,10F,N,7,A,1/29/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.63394824,-74.02082102,310,43,13000,3145287,3058640051,BK31,61,-74.02082102,40.63394824
50071662,Staten Island,4069,HYLAN BLVD,10308,7183568446,8/9/18 0:00,06E,Y,22,B,8/9/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.54062016,-74.14743533,503,51,15601,5067577,5052760042,SI54,62,-74.14743533,40.54062016
41526478,Manhattan,384,GRAND STREET,10002,6466929259,12/28/18 0:00,04N,Y,12,A,12/28/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.71628453,-73.98782161,103,1,1402,1004156,1003460095,MN28,63,-73.98782161,40.71628453
50009465,Manhattan,206,E 52ND ST,10022,2127946000,3/13/18 0:00,10F,N,10,A,3/13/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.75687891,-73.9694235,106,4,9800,1089027,1013250050,MN19,64,-73.9694235,40.75687891
50015240,Queens,6825,FRESH MEADOW LN,11365,7184630335,2/10/18 0:00,04L,Y,10,A,2/10/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.73328892,-73.79454866,408,24,134100,4149754,4069300001,QN41,65,-73.79454866,40.73328892
50065145,Bronx,219,W 230TH ST,10463,3479479358,2/16/18 0:00,08A,N,10,A,2/16/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.87726277,-73.9070587,208,11,28900,2083133,2057000078,BX29,66,-73.9070587,40.87726277
50083385,Queens,9040,160TH ST,11432,9174592999,10/7/19 0:00,10F,N,9,A,10/7/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.70492565,-73.79990585,412,24,44601,4441658,4097560054,QN61,67,-73.79990585,40.70492565
41117795,Manhattan,151,WEST   46 STREET,10036,2123987440,10/26/16 0:00,08A,N,13,A,10/26/16 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.7579907,-73.98366651,105,4,12500,1022663,1009990009,MN17,68,-73.98366651,40.7579907
40546098,Manhattan,316,WEST   49 STREET,10019,2122450505,1/30/18 0:00,04N,Y,7,A,1/30/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.76203421,-73.98748472,104,3,12700,1025137,1010390017,MN15,69,-73.98748472,40.76203421
41617076,Manhattan,34,WEST   32 STREET,10001,2125646600,1/29/19 0:00,10B,N,10,A,1/29/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.74781906,-73.98710123,105,4,7600,1015832,1008330063,MN17,70,-73.98710123,40.74781906
50054623,Bronx,1511,WILKINSON AVE,10461,6463417716,6/22/19 0:00,10F,N,12,A,6/22/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.85278101,-73.84265599,211,13,29600,2047037,2042190068,BX49,71,-73.84265599,40.85278101
41170720,Manhattan,10,COLUMBUS CIRCLE,10019,2128239365,2/3/17 0:00,10H,N,12,A,2/3/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.76780849,-73.98226697,104,3,14500,1026318,1010497501,MN14,72,-73.98226697,40.76780849
50048378,Manhattan,66,W 84TH ST,10024,6072210610,6/27/19 0:00,06C,Y,5,A,6/27/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.78469768,-73.97205036,107,6,16900,1031244,1011970061,MN12,73,-73.97205036,40.78469768
50062730,Queens,7415,ROOSEVELT AVE,11372,9178327400,3/15/18 0:00,04A,Y,12,A,3/15/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.74687066,-73.89119927,403,25,28900,4029839,4012850071,QN28,74,-73.89119927,40.74687066
41716975,Manhattan,860,9 AVENUE,10019,2123972036,7/25/19 0:00,08C,N,10,A,7/25/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.76709266,-73.98629243,104,3,13900,1025445,1010460062,MN15,75,-73.98629243,40.76709266
50070864,Brooklyn,287,BEDFORD AVE,11211,7187822510,12/27/17 0:00,02B,Y,12,A,12/27/17 0:00,10/29/19 0:00,Pre-permit (Operational) / Initial Inspection,40.71408566,-73.96154338,301,34,55100,3062784,3023930002,BK73,76,-73.96154338,40.71408566
41714688,Queens,6135,JUNCTION BOULEVARD,11374,7187601090,2/14/19 0:00,08A,N,10,A,2/14/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.73342817,-73.86417003,406,29,71702,4615634,4020807501,QN18,77,-73.86417003,40.73342817
40593844,Brooklyn,6823,4 AVENUE,11220,7188368055,8/17/16 0:00,06C,Y,12,A,8/17/16 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.63509234,-74.02331101,310,43,13000,3145250,3058640001,BK31,78,-74.02331101,40.63509234
41415145,Brooklyn,569,MYRTLE AVENUE,11205,7187833744,1/19/18 0:00,06C,Y,7,A,1/19/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.69395824,-73.96150455,302,35,19100,3054629,3018950061,BK69,79,-73.96150455,40.69395824
40911251,Manhattan,1143,1 AVENUE,10065,2123710238,6/28/17 0:00,08A,N,23,B,6/28/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.7618167,-73.96036058,108,5,11000,1044373,1014370027,MN31,80,-73.96036058,40.7618167
41654846,Brooklyn,2718,GERRITSEN AVENUE,11229,7185136245,12/6/18 0:00,09C,N,13,A,12/6/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.592817,-73.92512812,315,46,62800,3249800,3089250182,BK17,81,-73.92512812,40.592817
41139432,Queens,4722,48 AVENUE,11377,7187294838,11/13/18 0:00,02B,Y,10,A,11/13/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.73915564,-73.91825468,402,26,23500,4053065,4022910027,QN31,82,-73.91825468,40.73915564
50078577,Manhattan,27,E 62ND ST,10065,9173617732,9/16/19 0:00,02B,Y,7,A,9/16/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.76536305,-73.96978059,108,4,11401,1040895,1013770024,MN40,83,-73.96978059,40.76536305
50084872,Bronx,1270,MORRISON AVE,10472,9298556668,11/13/18 0:00,08A,N,11,A,11/13/18 0:00,10/29/19 0:00,Pre-permit (Operational) / Re-inspection,40.83132947,-73.87503066,209,18,6200,2025386,2037780028,BX08,84,-73.87503066,40.83132947
41714016,Queens,9419,ROOSEVELT AVENUE,11372,7183358800,9/13/18 0:00,10H,N,9,A,9/13/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.74886305,-73.87226618,403,21,27300,4036557,4014820042,QN28,85,-73.87226618,40.74886305
41241023,Brooklyn,234,KINGS HIGHWAY,11223,7187144272,5/28/16 0:00,06C,Y,8,A,5/28/16 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.60538379,-73.98224905,311,47,42800,3176591,3066470017,BK29,86,-73.98224905,40.60538379
41647129,Queens,3756,108TH ST,11368,7184240371,1/4/17 0:00,04A,Y,12,A,1/4/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.7528175,-73.85985689,403,21,40300,4044514,4017740039,QN26,87,-73.85985689,40.7528175
40364581,Brooklyn,386,FLATBUSH AVENUE EXTENSION,11201,7188525257,6/22/16 0:00,02H,Y,11,A,6/22/16 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.69020015,-73.9816242,302,33,1500,3000369,3001490060,BK38,88,-73.9816242,40.69020015
50084986,Manhattan,205,E 42ND ST,10017,9177975133,12/7/18 0:00,10B,N,9,A,12/7/18 0:00,10/29/19 0:00,Pre-permit (Operational) / Initial Inspection,40.75063573,-73.97412557,106,4,8800,1037550,1013167501,MN19,89,-73.97412557,40.75063573
50048519,Manhattan,30,ROCKEFELLER PLZ,10112,2124522222,10/9/19 0:00,06A,Y,5,A,10/9/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.75874744,-73.97869222,105,4,10400,1076262,1012657501,MN17,90,-73.97869222,40.75874744
41076181,Queens,10702,LIBERTY AVENUE,11417,7188350890,5/29/19 0:00,02G,Y,10,A,5/29/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.68331351,-73.83448338,410,32,9600,4202225,4095300001,QN55,91,-73.83448338,40.68331351
41574435,Queens,7508,JAMAICA AVENUE,11421,7182962172,11/5/18 0:00,08A,N,10,A,11/5/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.69143568,-73.86632215,409,30,400,4183029,4089040004,QN53,92,-73.86632215,40.69143568
50060826,Staten Island,2714,HYLAN BLVD,10306,7185096553,9/19/18 0:00,10E,N,7,A,9/19/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.56625909,-74.11397264,502,50,12806,5107587,5039830013,SI25,93,-74.11397264,40.56625909
50063824,Manhattan,185,GREENWICH ST,10007,6467661719,9/6/19 0:00,08A,N,11,A,9/6/19 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.71182978,-74.0120874,101,1,1300,1089309,1000580001,MN25,94,-74.0120874,40.71182978
50088485,Brooklyn,81,BERGEN ST,11201,7187011630,5/23/19 0:00,04A,Y,12,A,5/23/19 0:00,10/29/19 0:00,Pre-permit (Operational) / Re-inspection,40.68655612,-73.99002295,302,33,4300,3001237,3001940001,BK38,95,-73.99002295,40.68655612
50082420,Queens,1050,JACKSON AVE,11101,7183924004,9/19/18 0:00,06C,Y,12,A,9/19/18 0:00,10/29/19 0:00,Pre-permit (Operational) / Initial Inspection,40.74232613,-73.95301396,402,26,700,4537822,4000407501,QN31,96,-73.95301396,40.74232613
40370917,Brooklyn,9006,CHURCH AVENUE,11236,7184985574,1/27/17 0:00,04A,Y,31,C,1/27/17 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.65287204,-73.91980597,317,42,88800,3103358,3047110036,BK96,97,-73.91980597,40.65287204
40592117,Manhattan,143,PERRY STREET,10014,2126459758,3/9/18 0:00,06C,Y,10,A,3/9/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.73487246,-74.00798529,102,3,7500,1011869,1006330034,MN23,98,-74.00798529,40.73487246
41515501,Brooklyn,2157,UTICA AVENUE,11234,7183779182,11/14/18 0:00,02B,Y,12,A,11/14/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.6194124,-73.92691723,318,46,68000,3219958,3078750009,BK58,99,-73.92691723,40.6194124
50072770,Brooklyn,1015,FULTON ST,11238,7189383607,12/3/18 0:00,04N,Y,13,A,12/3/18 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.68231485,-73.96132381,302,35,22700,3057234,3019910009,BK69,100,-73.96132381,40.68231485
50045872,Brooklyn,914,39TH ST,11219,7184355726,10/15/18 0:00,10F,N,10,A,10/15/18 0:00,10/29/19 0:00,Cycle Inspection / Initial Inspection,40.64577454,-73.99484337,312,38,11000,3135172,3055830012,BK34,101,-73.99484337,40.64577454
40610000,Brooklyn,992,MANHATTAN AVENUE,11222,7183894756,8/22/19 0:00,04L,Y,17,B,8/22/19 0:00,10/29/19 0:00,Cycle Inspection / Re-inspection,40.73287383,-73.95469126,301,33,57500,3064356,3025330067,BK76,102,-73.95469126,40.73287383
